Continent,Country,State,Address,ZipCode,ProductName,ProductCategory,ProductSubcategory,OrderDate,DeliveryDate,Cost,UnitPrice,Quantity,FirstName,LastName,Email,Phone,StoreName
Europe,Germany,Hamburg,8047 Kelly Orchard,82849,Tablet - Heart,Electronics,Tablet,2025-07-22,2025-07-27,2936.1,479.31,7,Bridget,Price,ybrooks@white.org,(032)735-7125,House LLC
Asia,India,Maharashtra,08578 French Crescent,48658,Chair - Improve,Furniture,Chair,2025-07-07,2025-07-10,206.54,245.18,1,Jim,Thornton,kimberly60@carpenter.com,783-690-3034x13653,Zhang and Sons
North America,Mexico,State2,977 Jill Unions Apt. 600,65869,Chair - Car,Furniture,Chair,2025-07-20,2025-07-23,712.35,126.8,8,Joseph,Bennett,johnwallace@gmail.com,917-443-6871x638,Hamilton-Mayer
Asia,China,State1,7405 Compton Village Suite 618,20062,Tablet - Whether,Electronics,Tablet,2025-06-28,2025-07-07,489.62,316.42,2,Kelly,Ryan,carlos27@hotmail.com,(314)198-8726x349,Lopez-Miller
Asia,India,Telangana,59007 Jason Dam,87246,Table - Consider,Furniture,Table,2025-02-01,2025-02-04,101.84,40.38,3,Heather,Roberts,sandra56@yahoo.com,154.176.6045x6893,"Martin, Harris and Robinson"
Asia,China,State2,7677 Randolph Viaduct Suite 666,33492,Mobile - Part,Electronics,Mobile,2025-02-02,2025-02-04,273.78,35.58,9,Timothy,Long,alanlambert@yahoo.com,+1-296-455-2175x0499,Morales Ltd
Europe,Germany,Hamburg,75442 Adam Club Suite 069,22805,Chair - Note,Furniture,Chair,2025-07-21,2025-07-23,1329.07,198.12,8,Brooke,Herrera,rglover@brown.com,663-903-2143x0318,Moreno-Watkins
North America,Mexico,State1,18406 King Place,42887,Couch - Same,Furniture,Couch,2025-03-15,2025-03-17,1636.1,263.43,8,Matthew,Jimenez,heatherkelly@hotmail.com,(151)436-9745x7835,"Hoover, Allen and Hoover"
Asia,India,Telangana,355 Moses River,57127,Jacket - Baby,Clothing,Jacket,2025-06-25,2025-06-28,2611.34,396.81,10,Teresa,Wright,jennifer86@wright.com,601-999-1624x69476,"Hobbs, Gonzalez and Shaw"
North America,USA,New York,68517 Lee Orchard Apt. 102,86350,Jeans - Score,Clothing,Jeans,2025-03-07,2025-03-14,1353.33,245.89,7,Vanessa,Montoya,lawsonbrian@hotmail.com,203-872-1215x19045,"Gonzalez, Solis and Sutton"
Asia,India,Telangana,2201 Rogers Lodge Apt. 393,89382,Mobile - Side,Electronics,Mobile,2025-05-29,2025-06-02,1117.41,296.42,5,Michael,Boyd,jessicareyes@yahoo.com,814.030.7559,Mckenzie Ltd
North America,Canada,State2,24843 Williams Harbors,48876,Jacket - Something,Clothing,Jacket,2025-07-24,2025-07-28,562.48,240.07,3,Alexis,Blevins,shellyrobertson@bowman.info,2440431090,Jones-Hill
Europe,France,State1,532 Wells Row,29417,Jacket - Management,Clothing,Jacket,2025-07-08,2025-07-12,106.84,126.32,1,Tracy,Gomez,csanders@gmail.com,573.554.8147x126,Caldwell and Sons
North America,USA,Texas,392 White Station,07186,Chair - Investment,Furniture,Chair,2025-06-16,2025-06-21,1109.28,394.78,4,Marisa,Nixon,peckcorey@yahoo.com,390.627.9895,Morgan Ltd
North America,Canada,State2,912 Jeffrey Creek,90764,Jacket - Mother,Clothing,Jacket,2025-03-12,2025-03-19,2013.74,287.39,10,Caroline,Hernandez,carol95@yahoo.com,142.116.2206x591,Burnett-Kennedy
